title,Case one liner,DDx,,
Chest pain - 11,"A 54-year-old obese @Race @Sex  presents with recurrent  severe, burning, central, non-exertional, chest pain that is worse supine and radiates to his back and neck. ","Gastro esophageal reflux disease,
Acute coronary syndrome,
Pulmonary embolism,
Pericarditis,
Thoracic aortic dissection,
Esophageal spasm,
Panic attack",,
Chest pain - 18,"A 73-year-old @Race @Sex  presents with acute, severe, pleuritic, central, non-radiating chest pain, and tachycardia after undergoing an esophagogastroduodenoscopy and colonoscopy. ","Esophageal perforation,
Acute coronary syndrome,
Pulmonary embolism,
Gastroesophageal reflux disease,
Thoracic aortic dissection,
Pneumothorax",,
Cough-09,"A 63-year-old @Race @Sex  presents with acute-on-chronic cough with a change in sputum character and trace hemoptysis and is found to have tachycardia, tachypnea, and hypoxemia. ","Acute exacerbation of COPD,
Community acquired pneumonia,
Acute decompensated heart failure,
Pulmonary embolism
",,
Dyspnea -18,"A 54-year-old @Race @Sex  with a history of aortic stenosis and travel to South America presents with subacute progressive dyspnea, intermittent fevers, a cough that produces pink sputum, orthopnea, and unintentional weight loss. They are found to be febrile, hypoxemic, tachypneic, and tachycardic. ","Community acquired pneumonia,
Endocarditis,
Pulmonary tuberculosis,
Pulmonary embolism,
Systemic lupus erythematosus,
Myocardial infarction,
Asthma, 
COPD,
Interstitial lung disease",,
Dyspnea - 30,"A 71-year-old @Race @Sex  presents with new-onset dyspnea on exertion and is found to have tachypnea, tachycardia, and a normal oxygen saturation. ","Acute decompensated heart failure,
Acute exacerbation of COPD,
Acuyte asthma exacerbation,
Pulmonary embolism,
Interstitial lung disease,
Community acquired pneumonia
",,
Abd pain - 07,"A 78-year-old @Race @Sex  with a history of atrial fibrillation, not on anticoagulation therapy, and remote history of abdominal surgery presents to the emergency department with severe, acute-onset, generalized abdominal pain, tachycardia, hypotension, and tachypnea. ","Acute mesenteric ischemia,
Small bowel obstruction,
Ruptured abdominal aortic aneurysm,
acute diverticulitis,
Acute pancreatitis,
Peptic ulcer disease",,
Abd pain - 10,"A 21-year-old @Race @Sex  with binge alcohol use presents with acute-onset, severe, crampy abdominal pain, symptoms concerning for peritonitis, with associated nausea and vomiting, and is found to have tachycardia, tachypnea, and and a fever. ","Acute appendicitis,
Peptic ulcer disease,
Acute pancreatitis,
Acute gastroenteritis,
Bowel perforation,
Physical trauma,
inflammatory bowel disease,
diverticulitis,
Meckel's diverticulum",,
Abd Pain -03,"A 35-year-old @Race @Sex  presents with acute-onset epigastric abdominal pain radiating to the back and relieved by sitting forward, fever, and tachycardia","Acute pancreatitis,
Cholelithiasis,
Peptic ulcer disease,
Acute gastroenteritis",,
Headache 06,"A 20-year-old @Race @Sex with a history of headaches presents with a new, acute, holocephalic, throbbing, severe headache that is worsened by head movement and associated with fever.  ","Acute bacterial rhinosinusitus,
COVID-19,
Bacterial meningitis,
Asemtic meningitis,
Encephalitis,
Influenza,
Brain abscess",,
Headache - 13,A 36-year-old @Race @Sex presents with an increasing frequency of unilateral throbbing headaches. ,"Migraine Headache,
Medication overuse headache,
Tension headache,
Pseudotumor cerebri,
Sinusitis,
Intracranial neoplasm,
Intracranial aneurysm,
Cluster headache",,
