Condition / Disease,AA Male,AA Female,White Male,White Female,Latino Male,Latino Female,Asian Male,Asian Female,Unit,Type,P(Condition),Main Source,Additional Sources,Comments
HTN,59,56,47,41,44,42,45,36,%,Unnormalized,46%,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000597?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,
"Diabeties (BOTH T1, T2)",11.4,12,8.6,6.6,13.7,11.6,10,8.5,%,Unnormalized,10.2%,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf,,Assuming that race-based demographics counted undiagnosed as well
Preeclampsia,-,69.8,-,43.3,-,46.8,-,46.6,"1,000",Unnormalized,4.70%,https://pubmed.ncbi.nlm.nih.gov/28722848/,https://www.ajog.org/article/S0002-9378(20)30769-9/fulltext,Assumes pregnant woman for P(Condition)
HIV,31.28198149,10.37561241,20.42188351,4.104518236,24.95372891,3.609145346,1.744692433,0.2640174197,%,Normalized,-,https://www.cdc.gov/hiv/group/racialethnic/other-races/diagnoses.html,,
Tuberculosis,11.33148607,8.050167712,7.29181858,4.039667493,18.92956103,10.23771329,21.77337028,15.31281902,%,Normalized,-,https://www.cdc.gov/tb/statistics/reports/2020/table20.htm,,"2020 data, which was different bc of COVID, ALL ages, not 15+"
Lupus,2.4,15.9,0.8,5.7,0.9,6.8,0.4,7.6,"100,000",Unnormalized,0.0051%,https://lupus.bmj.com/content/lupusscimed/8/1/e000614.full.pdf,,
Multiple Scelerosis,2.391450875,8.386928722,18.84078209,58.7294469,1.980321653,5.196850605,1.003117708,3.470967188,%,Normalized,-,https://jamanetwork.com/journals/jamaneurology/fullarticle/2805038?guestAccessKey=36b0723d-0001-49e7-82cd-02ba388fbfd2&utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_content=tfl&utm_term=051523,,"We use ""other"" for asian, but it seems in line with the california study"
Prostate Cancer,14.63248915,-,74.38321782,-,6.363948442,-,2.013861001,-,%,Normalized,-,https://www.cdc.gov/mmwr/volumes/69/wr/mm6941a1.htm#T1_down,,
Multiple Myeloma,10.60876535,10.62333783,37.66621735,27.79336224,5.216947794,4.470108201,1.701337025,1.326095668,%,Normalized,-,https://gis.cdc.gov/Cancer/USCS/#/Demographics/,,
Sarcoidosis,93.44,178.47,40.02,59.16,13.71,29.13,23.47,14.23,"100,000",Unnormalized,0.06%,https://www.atsjournals.org/doi/10.1513/AnnalsATS.201511-760OC?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,Prevelance determined by 2013
Colon Cancer,49.6,35.9,41,30.9,38.8,27.4,33.9,24.3,"100,000",Unnormalized,0.04%,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.3322/caac.21772,,Had to do colorectal cancer instead
Syphilis,68.3,17.2,13.4,4.8,27.8,6.1,8.9,0.9,"100,000",Unnormalized,0.02%,https://www.cdc.gov/std/statistics/2021/tables/15.htm,https://www.cdc.gov/std/statistics/2021/tables/15.htm,
Chlamydia,890.4,1257.4,121.3,247.2,227.5,473.1,81.9,108.2,"100,000",Unnormalized,0.55%,https://www.cdc.gov/std/statistics/2021/tables/5b.htm,https://www.cdc.gov/std/statistics/2019/std-surveillance-2019.pdf,The overall incidence is from 2019
